iter	RMSE
0	1750.389634
1	1725.226628
2	1700.896812
3	1677.67097
4	1655.458087
5	1633.488021
6	1612.284959
7	1591.969541
8	1572.207674
9	1553.40431
10	1534.90666
11	1516.565238
12	1499.271786
13	1481.98734
14	1465.096993
15	1449.060397
16	1432.933959
17	1417.431191
18	1402.477347
19	1387.434233
20	1373.333793
21	1359.107027
22	1345.811034
23	1332.232616
24	1318.860852
25	1306.526846
26	1293.772402
27	1281.746894
28	1269.492065
29	1258.16083
30	1246.627404
31	1235.475009
32	1224.152238
33	1213.806102
34	1203.290364
35	1193.354005
36	1183.171195
37	1172.940564
38	1163.476238
39	1153.817663
40	1143.919393
41	1135.003005
42	1125.679823
43	1117.135275
44	1108.384225
45	1099.630742
46	1090.988717
47	1083.110281
48	1075.336754
49	1066.96708
50	1059.145936
51	1051.727588
52	1043.970644
53	1036.853203
54	1029.113046
55	1022.200477
56	1015.560084
57	1008.602831
58	1001.395244
59	995.1195595
60	988.1136143
61	981.9899451
62	975.9968682
63	969.3863425
64	963.231857
65	957.6971061
66	951.5731923
67	944.9416782
68	939.6579323
69	933.4908241
70	928.1575099
71	922.3821424
72	916.4024332
73	911.5800949
74	905.9523209
75	900.0966662
76	895.0086025
77	889.7494533
78	885.3294888
79	879.8236437
80	875.1676393
81	870.671373
82	866.0927994
83	861.0826412
84	855.8962583
85	851.9674727
86	847.8066175
87	844.076096
88	839.3107497
89	834.9469987
90	830.5571426
91	826.9541862
92	822.2879476
93	818.8809932
94	814.7282323
95	810.3633514
96	806.2506761
97	802.2833176
98	799.2633372
99	796.4267373
